,Category,Manufacturer,Specifications,Year Built,Year Built Condition,Length,Length Condition,Width,Width Condition,Material,Price,Price Condition,Currency,Country,State_Region,Location,# of views last 7 days,Views Condition
48,Motor Yacht,Rodriguez Group (Italyachts) Power Boats,"Used Boat, Diesel",2010.0,New,41.1,Long,8.4,Wide,Aluminium,5900000,High-value product,EUR,France,Viewing by Appointment Only,,986,High Views
529,Cabin Boat,Draco Power Boats,"Used Boat, Unleaded",1989.0,Old,9.0,Medium,3.12,Medium,Carbon Fiber,52000,Mid-value product,CHF,Switzerland,Viewing by Appointment Only,,380,High Views
895,Trawler,,Used Boat,1993.0,Old,10.5,Medium,3.7,Medium,Steel,49500,Mid-value product,EUR,Netherlands,Viewing by Appointment Only,,297,High Views
941,nan,,New Boat From Stock,2020.0,New,12.5,Medium,4.2,Medium,Wood,31800,Low-value product,PLN,Poland,Viewing by Appointment Only,,290,High Views
1094,nan,Yamarin Power Boats,New Boat From Stock,2020.0,New,6.77,Short,2.54,Medium,GRP,52000,Mid-value product,EUR,Germany,Viewing by Appointment Only,,270,High Views
1115,Cabin Boat,Nimbus Power Boats,"New Boat On Order, Diesel",2020.0,New,10.87,Medium,3.4,Medium,GRP,410000,High-value product,SEK,Sweden,Viewing by Appointment Only,,267,High Views
1224,Motor Yacht,Princess Power Boats,"Used Boat, Diesel",2003.0,Mid,15.0,Long,4.0,Medium,GRP,199500,Mid-value product,EUR,Croatia,Viewing by Appointment Only,,254,High Views
1312,Sport Boat,Axopar Power Boats,New Boat On Order,2020.0,New,11.5,Medium,3.35,Medium,GRP,240000,Mid-value product,PLN,Poland,Viewing by Appointment Only,,245,High Views
1418,Cabin Boat,Nimbus Power Boats,"New Boat On Order, Diesel",2020.0,New,13.16,Medium,3.75,Medium,GRP,625000,High-value product,SEK,Sweden,Viewing by Appointment Only,,236,High Views
1467,nan,,New Boat From Stock,2020.0,New,8.8,Medium,3.0,Medium,Wood,21700,Low-value product,PLN,Poland,Viewing by Appointment Only,,232,High Views
1506,nan,Conam Power Boats,"Used Boat, Diesel",1996.0,Old,17.15,Long,4.3,Wide,GRP,199000,Mid-value product,EUR,Belgium,Viewing by Appointment Only,,229,High Views
1507,nan,Princess Power Boats,"Used Boat, Diesel",1996.0,Old,18.85,Long,4.8,Wide,GRP,269000,High-value product,EUR,Belgium,Viewing by Appointment Only,,229,High Views
1535,Motor Yacht,Azimut Power Boats,"New Boat From Stock, Diesel",2020.0,New,10.25,Medium,3.5,Medium,GRP,278000,High-value product,EUR,Italy,Viewing by Appointment Only,,227,High Views
1615,Sport Boat,Sunseeker Power Boats,Used Boat,2007.0,Mid,13.49,Medium,3.63,Medium,,169999,Mid-value product,GBP,United Kingdom,Viewing by Appointment Only,,221,High Views
1675,Deck Boat,,New Boat From Stock,2015.0,New,4.3,Short,,nan,,39900,Low-value product,DKK,Denmark,Viewing by Appointment Only,In Our Exhibition,217,High Views
1689,Center Console Boat,Nimbus Power Boats,"New Boat On Order, Unleaded",2020.0,New,8.15,Medium,2.6,Medium,GRP,135000,Mid-value product,SEK,Sweden,Viewing by Appointment Only,,216,High Views
1702,Motor Yacht,Azimut Power Boats,"New Boat On Order, Diesel",2020.0,New,10.25,Medium,3.5,Medium,GRP,251000,Mid-value product,CHF,Switzerland,Viewing by Appointment Only,,215,High Views
1737,Cabin Boat,Nimbus Power Boats,"New Boat On Order, Diesel",2020.0,New,9.85,Medium,3.25,Medium,GRP,275000,High-value product,SEK,Sweden,Viewing by Appointment Only,,212,High Views
1767,Trawler,,Used Boat,1979.0,Old,11.0,Medium,3.4,Medium,Steel,40000,Low-value product,EUR,Netherlands,Viewing by Appointment Only,,210,High Views
1768,Bowrider,Yamarin Power Boats,New Boat From Stock,2020.0,New,6.31,Short,2.32,Narrow,Aluminium,35020,Low-value product,EUR,Germany,Viewing by Appointment Only,,210,High Views
1795,nan,,New Boat From Stock,2020.0,New,9.0,Medium,2.5,Narrow,Aluminium,82350,Mid-value product,EUR,Netherlands,Viewing by Appointment Only,,207,High Views
1887,Sport Boat,Axopar Power Boats,"New Boat On Order, Unleaded",2020.0,New,9.4,Medium,2.95,Medium,GRP,130000,Mid-value product,PLN,Poland,Viewing by Appointment Only,,201,High Views
1888,nan,Fairline Power Boats,"Used Boat, Diesel",1996.0,Old,17.05,Long,4.65,Wide,GRP,238000,Mid-value product,EUR,Netherlands,Viewing by Appointment Only,,201,High Views
1912,nan,,Used Boat,2020.0,New,12.56,Medium,4.0,Medium,Steel,98000,Mid-value product,EUR,Netherlands,Viewing by Appointment Only,,200,High Views
1929,nan,,Used Boat,2020.0,New,14.95,Long,7.0,Wide,Steel,459209,High-value product,EUR,Netherlands,Viewing by Appointment Only,,199,High Views
1989,Motor Yacht,Princess Power Boats,Used Boat,2010.0,New,13.56,Medium,4.0,Medium,,2145000,High-value product,DKK,Denmark,Viewing by Appointment Only,In Our Exhibition,195,High Views
2266,nan,,New Boat From Stock,2020.0,New,15.0,Long,4.5,Wide,Aluminium,155000,Mid-value product,EUR,Netherlands,Viewing by Appointment Only,,181,High Views
2271,nan,Quicksilver Power Boats,Used Boat,2014.0,New,7.39,Short,2.79,Medium,,449995,High-value product,DKK,Denmark,Viewing by Appointment Only,In Our Exhibition,181,High Views
2423,Sport Boat,Aquador Power Boats,Used Boat,1996.0,Old,6.82,Short,2.68,Medium,,199000,Mid-value product,DKK,Denmark,Viewing by Appointment Only,In Our Exhibition,173,High Views
2513,Trawler,Linssen Power Boats,Used Boat,1998.0,Old,10.1,Medium,3.45,Medium,Steel,109500,Mid-value product,EUR,Netherlands,Viewing by Appointment Only,,170,Medium Views
2630,Motor Yacht,Sea Ray Power Boats,"Used Boat, Diesel",1995.0,Old,16.61,Long,4.57,Wide,GRP,99500,Mid-value product,EUR,Italy,Viewing by Appointment Only,,166,Medium Views
2666,nan,,New Boat From Stock,2019.0,New,9.26,Medium,3.0,Medium,Steel,66500,Mid-value product,EUR,Netherlands,Viewing by Appointment Only,,164,Medium Views
2671,nan,Aluforce Power Boats,New Boat From Stock,2020.0,New,7.4,Short,2.45,Narrow,Aluminium,49000,Mid-value product,EUR,Germany,Viewing by Appointment Only,,164,Medium Views
2701,nan,,Used Boat,1950.0,Old,6.0,Short,2.2,Narrow,Wood,12500,Low-value product,EUR,Netherlands,Viewing by Appointment Only,,162,Medium Views
2709,nan,Aluforce Power Boats,New Boat From Stock,2020.0,New,8.7,Medium,2.55,Medium,Aluminium,67300,Mid-value product,EUR,Germany,Viewing by Appointment Only,,162,Medium Views
2726,nan,Aluforce Power Boats,New Boat From Stock,2020.0,New,7.1,Short,2.45,Narrow,Aluminium,46260,Mid-value product,EUR,Germany,Viewing by Appointment Only,,162,Medium Views
2845,nan,Faeton Power Boats,Used Boat,2006.0,Mid,10.4,Medium,3.5,Medium,GRP,79500,Mid-value product,EUR,Netherlands,Viewing by Appointment Only,,158,Medium Views
2890,nan,Sunseeker Power Boats,"Used Boat, Diesel",2006.0,Mid,19.9,Long,5.1,Wide,GRP,649000,High-value product,EUR,Netherlands,Viewing by Appointment Only,,156,Medium Views
2899,Sport Boat,Yamarin Power Boats,New Boat From Stock,2020.0,New,6.3,Short,2.5,Narrow,GRP,37780,Low-value product,EUR,Germany,Viewing by Appointment Only,,156,Medium Views
2941,Trawler,,Used Boat,1996.0,Old,13.7,Medium,4.2,Medium,Steel,169000,Mid-value product,EUR,Netherlands,Viewing by Appointment Only,,154,Medium Views
2954,nan,Axopar Power Boats,Used Boat,2017.0,New,8.99,Medium,2.85,Medium,GRP,99500,Mid-value product,EUR,Netherlands,Viewing by Appointment Only,,154,Medium Views
3047,Trawler,,Used Boat,2007.0,Mid,9.5,Medium,3.45,Medium,Steel,55000,Mid-value product,EUR,Netherlands,Viewing by Appointment Only,,151,Medium Views
3177,Motor Yacht,Bénéteau Power Boats,"Used Boat, Diesel",2009.0,Mid,12.12,Medium,3.77,Medium,GRP,138000,Mid-value product,EUR,Croatia,Viewing by Appointment Only,,147,Medium Views
3190,Sport Boat,Yamarin Power Boats,New Boat From Stock,2020.0,New,6.3,Short,2.35,Narrow,GRP,33765,Low-value product,EUR,Germany,Viewing by Appointment Only,,147,Medium Views
3231,nan,Viking Power Boats,New Boat From Stock,2020.0,New,6.84,Short,2.5,Narrow,Aluminium,26500,Low-value product,EUR,Germany,Viewing by Appointment Only,,146,Medium Views
3367,nan,Yamarin Power Boats,New Boat From Stock,2020.0,New,8.8,Medium,2.95,Medium,GRP,100185,Mid-value product,EUR,Germany,Viewing by Appointment Only,,142,Medium Views
3402,Motor Yacht,,Used Boat,2011.0,New,10.2,Medium,3.5,Medium,Steel,149500,Mid-value product,EUR,Netherlands,Viewing by Appointment Only,,141,Medium Views
3449,nan,,New Boat From Stock,2020.0,New,11.99,Medium,7.55,Wide,,200000,Mid-value product,EUR,Netherlands,Viewing by Appointment Only,,140,Medium Views
3484,Motor Yacht,Azimut Power Boats,"Used Boat, Diesel",2004.0,Mid,19.0,Long,5.0,Wide,GRP,439000,High-value product,EUR,Croatia,Viewing by Appointment Only,,139,Medium Views
3506,Bowrider,Yamarin Power Boats,New Boat From Stock,2020.0,New,5.66,Short,2.17,Narrow,Aluminium,27785,Low-value product,EUR,Germany,Viewing by Appointment Only,,139,Medium Views
3521,Trawler,,Used Boat,1966.0,Old,16.64,Long,4.5,Wide,Steel,265000,High-value product,EUR,Netherlands,Viewing by Appointment Only,,138,Medium Views
3584,nan,,Used Boat,2011.0,New,7.1,Short,2.45,Narrow,GRP,29500,Low-value product,EUR,Netherlands,Viewing by Appointment Only,,137,Medium Views
3627,Sport Boat,Yamarin Power Boats,New Boat From Stock,2019.0,New,5.67,Short,2.25,Narrow,GRP,21090,Low-value product,EUR,Germany,Viewing by Appointment Only,,135,Medium Views
3753,Trawler,,Used Boat,2013.0,New,13.5,Medium,4.0,Medium,Steel,247500,Mid-value product,EUR,Netherlands,Viewing by Appointment Only,,132,Medium Views
3765,Motor Yacht,,Used Boat,1982.0,Old,11.5,Medium,3.5,Medium,Steel,32000,Low-value product,EUR,Netherlands,Viewing by Appointment Only,,132,Medium Views
4025,Sport Boat,Aluforce Power Boats,New Boat From Stock,2020.0,New,5.66,Short,2.1,Narrow,Aluminium,17900,Low-value product,EUR,Germany,Viewing by Appointment Only,,126,Medium Views
4032,Sport Boat,,New Boat From Stock,2020.0,New,5.25,Short,1.98,Narrow,,179000,Mid-value product,DKK,Denmark,Viewing by Appointment Only,In Our Exhibition,125,Medium Views
4057,Trawler,,Used Boat,1975.0,Old,14.0,Long,4.35,Wide,Steel,72500,Mid-value product,EUR,Netherlands,Viewing by Appointment Only,,125,Medium Views
4125,Trawler,,Used Boat,1997.0,Old,13.2,Medium,4.0,Medium,Steel,229000,Mid-value product,EUR,Netherlands,Viewing by Appointment Only,,123,Medium Views
4134,Trawler,Gillissen Power Boats,Used Boat,1970.0,Old,11.85,Medium,3.65,Medium,Steel,64900,Mid-value product,EUR,Netherlands,Viewing by Appointment Only,,123,Medium Views
4138,Bowrider,Yamarin Power Boats,New Boat From Stock,2020.0,New,6.3,Short,2.35,Narrow,GRP,30355,Low-value product,EUR,Germany,Viewing by Appointment Only,,123,Medium Views
4268,nan,Aluforce Power Boats,New Boat From Stock,2020.0,New,8.2,Medium,2.5,Narrow,Aluminium,60000,Mid-value product,EUR,Germany,Viewing by Appointment Only,,120,Medium Views
4358,nan,,Used Boat,2020.0,New,18.0,Long,5.5,Wide,Aluminium,260000,High-value product,EUR,Netherlands,Viewing by Appointment Only,,118,Medium Views
4361,nan,,New Boat From Stock,2020.0,New,19.95,Long,4.85,Wide,Steel,238000,Mid-value product,EUR,Netherlands,Viewing by Appointment Only,,118,Medium Views
4420,Sport Boat,Yamarin Power Boats,New Boat From Stock,2020.0,New,7.55,Medium,2.47,Narrow,Aluminium,54540,Mid-value product,EUR,Germany,Viewing by Appointment Only,,117,Medium Views
4436,nan,,Used Boat,1936.0,Old,10.22,Medium,3.3,Medium,Steel,48000,Mid-value product,EUR,Netherlands,Viewing by Appointment Only,,116,Medium Views
4822,nan,Amt Power Boats,New Boat From Stock,2020.0,New,6.4,Short,2.4,Narrow,GRP,37000,Low-value product,EUR,Germany,Viewing by Appointment Only,,109,Medium Views
4852,nan,,New Boat From Stock,2020.0,New,15.0,Long,5.6,Wide,Steel,299900,High-value product,EUR,Netherlands,Viewing by Appointment Only,,109,Medium Views
4871,Trawler,Pedro Power Boats,Used Boat,1999.0,Old,10.6,Medium,3.5,Medium,Steel,62500,Mid-value product,EUR,Netherlands,Viewing by Appointment Only,,109,Medium Views
4875,nan,Yamarin Power Boats,New Boat From Stock,2020.0,New,6.77,Short,2.54,Medium,GRP,55290,Mid-value product,EUR,Germany,Viewing by Appointment Only,,109,Medium Views
4889,Sport Boat,Amt Power Boats,New Boat From Stock,2020.0,New,4.72,Short,2.05,Narrow,GRP,10890,Low-value product,EUR,Germany,Viewing by Appointment Only,,109,Medium Views
4896,nan,Makma Power Boats,"Used Boat, Diesel",2003.0,Mid,9.3,Medium,3.3,Medium,GRP,84500,Mid-value product,EUR,Netherlands,Viewing by Appointment Only,,108,Medium Views
4899,Motor Yacht,,Used Boat,2001.0,Mid,11.6,Medium,3.96,Medium,Steel,94500,Mid-value product,EUR,Netherlands,Viewing by Appointment Only,,108,Medium Views
4952,Deck Boat,Yamarin Power Boats,New Boat From Stock,2020.0,New,6.25,Short,2.3,Narrow,GRP,22520,Low-value product,EUR,Germany,Viewing by Appointment Only,,107,Medium Views
4996,Trawler,Zijlmans Power Boats,"Used Boat, Diesel",1997.0,Old,14.0,Long,4.2,Medium,Steel,150000,Mid-value product,EUR,Netherlands,Viewing by Appointment Only,,107,Medium Views
5037,Trawler,Linssen Power Boats,"Used Boat, Diesel",1999.0,Old,10.1,Medium,3.45,Medium,Steel,119000,Mid-value product,EUR,Netherlands,Viewing by Appointment Only,,106,Medium Views
5092,Sport Boat,Amt Power Boats,New Boat From Stock,2019.0,New,5.5,Short,2.24,Narrow,GRP,23900,Low-value product,EUR,Germany,Viewing by Appointment Only,,106,Medium Views
5145,Trawler,,"Used Boat, Diesel",1976.0,Old,10.5,Medium,3.4,Medium,Steel,26500,Low-value product,EUR,Netherlands,Viewing by Appointment Only,,105,Medium Views
5262,Trawler,,Used Boat,1992.0,Old,12.0,Medium,3.65,Medium,Steel,59500,Mid-value product,EUR,Netherlands,Viewing by Appointment Only,,103,Medium Views
